YEAR,DISTRICT,DISTRICT NAME,Grades served,Number of schools,Administrators,Teachers,Average Daily Membership,Total,White,African American,Hispanic,Asian,Native American,Male,Female,White PCT,African American PCT,Hispanic PCT,Asian PCT,Native American PCT,Male PCT,Female PCT,White Male,African American Male,Hispanic Male,Asian Male,Native American Male,White Female,African American Female,Hispanic Female,Asian Female,Native American Female,Limited English Proficient PCT,Limited English Proficient,Number Exempt from Reading Assessment,Students with Disabilities,Students with Disabilities PCT,Free eligible,Reduced eligible,Free reduced eligible,Free PCT,Reduced PCT,Free reduced PCT,Title I,Title I PCT,Per Pupil Expenditures per ADA,Local Funding PCT,Federal Funding PCT,State Funding PCT,State Per Pupil Expenditures per ADA,State Local Funding PCT,State Federal Funding PCT,State State Funding PCT
2013,570,Madison County,PK-12,27,99,1042,12427,13375,4322,8078,776,174,16,6882,6493,32.3,60.4,5.8,1.3,0.1,51.5,48.5,2230,4129,381,,,2071,3928,371,,,3.6,484,,2145,16,9135,1149,10284,68.3,8.6,76.9,11602,86.7,9717.94,46,12.1,41.9,9293,40.1,11.3,48.7
2013,580,Marion County,PK-12,10,25,276,4093,4320,4017,199,77,20,,2244,2076,93,4.6,1.8,0.5,,51.9,48.1,2096,87,29,,,1918,93,32,,,1,44,,588,13.6,2434,408,2842,56.6,9.5,66,1940,44.9,8345.77,29.2,9.6,61.2,9293,40.1,11.3,48.7
2013,581,Richard City,PK-12,1,2,22,297,319,300,16,,,,163,156,94,5,,,,51.1,48.9,150,,,,,138,,,,,,,,30,9.4,170,20,190,53.3,6.3,59.6,298,93.4,7864.27,27.3,7.1,65.5,9293,40.1,11.3,48.7
2013,590,Marshall County,PK-12,9,30,351,5194,5360,4490,462,356,34,17,2768,2592,83.8,8.6,6.6,0.6,0.3,51.6,48.4,2330,228,173,,,2156,224,175,,,2.9,158,,612,11.4,2590,441,3031,48.3,8.2,56.5,3148,58.7,8468.65,30.5,8.5,61.1,9293,40.1,11.3,48.7
2013,600,Maury County,PK-12,20,56,815,11416,11970,8531,2330,957,109,29,6143,5827,71.3,19.5,8,0.9,0.2,51.3,48.7,4367,1193,495,,,4148,1133,454,,,3.4,403,10,1964,16.4,6024,959,6983,50.3,8,58.3,2071,17.3,8739.38,37.3,8.9,53.8,9293,40.1,11.3,48.7
2013,610,Meigs County,PK-12,4,11,127,1661,1805,1754,27,10,,,919,886,97.2,1.5,0.6,,,50.9,49.1,891,13,,,,863,11,,,,,,,314,17.4,1082,179,1261,59.9,9.9,69.9,1164,64.5,8756.97,18.4,12.4,69.3,9293,40.1,11.3,48.7
2013,620,Monroe County,PK-12,13,48,349,5391,5586,5165,139,238,26,17,2931,2655,92.5,2.5,4.3,0.5,0.3,52.5,47.5,2709,56,114,,,2452,66,94,,,1.2,66,,772,13.8,3165,628,3793,56.9,11.3,68.2,3648,65.3,8607.42,25.8,11.1,63.2,9293,40.1,11.3,48.7
2013,621,Sweetwater,PK-8,4,11,100,1502,1589,1336,97,136,17,,814,775,84.1,6.1,8.6,1.1,,51.2,48.8,684,38,60,,,651,33,55,,,4.8,77,,269,16.9,1033,138,1171,65,8.7,73.6,1501,94.5,8219.36,23.8,10.4,65.8,9293,40.1,11.3,48.7
2013,630,Montgomery County,PK-12,37,162,2011,29237,30621,17537,8524,3247,717,285,15596,15025,57.3,27.8,10.6,2.3,0.9,50.9,49.1,8883,4353,1684,,136,8650,4168,1551,,137,2.7,828,10,4257,13.9,11727,2532,14259,38.4,8.3,46.7,10230,33.4,8829.32,33.7,10.8,55.5,9293,40.1,11.3,48.7
2013,640,Moore County,K-12,2,6,77,969,1014,964,38,,,,542,472,95.1,3.7,,,,53.5,46.5,513,13,,,,451,,,,,,,,178,17.6,448,92,540,44.2,9.1,53.3,521,51.4,9398.17,35.3,7.2,57.5,9293,40.1,11.3,48.7
2013,650,Morgan County,PK-12,8,21,229,3141,3317,3254,21,25,,,1706,1611,98.1,0.6,0.8,,,51.4,48.6,1678,,,,,1576,,,,,,,,515,15.5,1776,351,2127,53.9,10.6,64.5,2721,82,8607.26,15.2,10.2,74.6,9293,40.1,11.3,48.7
2013,660,Obion County,PK-12,7,19,258,3578,3744,3375,191,161,13,,1856,1888,90.1,5.1,4.3,0.3,,49.6,50.4,1674,84,75,,,1700,94,70,,,2.1,79,,543,14.5,1856,347,2203,49.6,9.3,58.8,2219,59.3,8722.46,29.9,8.8,61.4,9293,40.1,11.3,48.7
2013,661,Union City,PK-12,3,8,111,1444,1500,719,628,146,,,769,731,47.9,41.9,9.7,,,51.3,48.7,375,315,52,,,335,302,70,,,4.9,74,,152,10.1,937,95,1032,62.5,6.3,68.8,1135,75.7,9395.27,35.1,11.3,53.6,9293,40.1,11.3,48.7
2013,670,Overton County,PK-12,9,21,220,3241,3432,3336,45,29,,16,1765,1667,97.2,1.3,0.8,,0.5,51.4,48.6,1711,17,,,,1625,13,,,,,,,468,13.6,1779,417,2196,51.9,12.2,64,2271,66.2,8181.02,17.3,12.3,70.4,9293,40.1,11.3,48.7
2013,680,Perry County,PK-12,4,9,91,1047,1155,1072,41,22,,15,611,544,92.8,3.5,1.9,,1.3,52.9,47.1,569,,,,,503,18,,,,,,,224,19.4,672,140,812,58.1,12.1,70.2,715,61.9,9612.03,20.7,13.2,66.1,9293,40.1,11.3,48.7
2013,690,Pickett County,PK-12,2,5,56,730,756,732,,13,,,425,331,96.8,,1.7,,,56.2,43.8,409,,,,,323,,,,,,,,118,15.6,365,88,453,48.3,11.6,59.9,730,96.6,8687.14,19.4,13.2,67.3,9293,40.1,11.3,48.7
2013,700,Polk County,PK-12,6,13,175,2479,2653,2569,20,52,,,1366,1287,96.8,0.8,2,,,51.5,48.5,1326,,17,,,1240,10,20,,,,,,355,13.4,1557,316,1873,58.7,11.9,70.6,1566,59,8731.35,23.3,10.9,65.8,9293,40.1,11.3,48.7
2013,710,Putnam County,PK-12,20,98,743,10348,11084,9297,419,1136,176,39,5758,5326,83.9,3.8,10.2,1.6,0.4,51.9,48.1,4831,179,578,,15,4439,219,539,,11,6,665,,1617,14.6,5384,646,6030,48.9,5.9,54.8,6851,61.8,8721.24,35.2,13.8,51.1,9293,40.1,11.3,48.7
2013,720,Rhea County,PK-12,6,20,288,4227,4465,4002,96,327,20,18,2310,2155,89.6,2.2,7.3,0.4,0.4,51.7,48.3,2070,32,167,,,1929,42,143,,,3,133,,523,11.7,2961,358,3319,66.4,8,74.4,2215,49.6,8020.24,25.4,9.9,64.7,9293,40.1,11.3,48.7
2013,721,Dayton,PK-8,1,5,60,800,827,662,54,102,,,407,420,80,6.5,12.3,,,49.2,50.8,317,24,44,,,334,21,35,,,8.6,71,,110,13.3,499,47,546,60.3,5.7,66,800,96.7,7836.62,20.6,11.6,67.8,9293,40.1,11.3,48.7
2013,730,Roane County,PK-12,17,34,477,6796,7139,6574,353,118,41,45,3789,3350,92.1,4.9,1.7,0.6,0.6,53.1,46.9,3489,176,54,,15,3080,170,45,,,0.3,21,,1133,15.9,3629,462,4091,51.5,6.6,58,3202,44.9,9352.05,41.4,9.9,48.7,9293,40.1,11.3,48.7
2013,740,Robertson County,PK-12,20,72,788,11036,11515,8975,1262,1158,85,24,5876,5639,77.9,11,10.1,0.7,0.2,51,49,4566,625,609,,,4392,634,535,,,5.7,659,12,1758,15.3,5042,742,5784,43.9,6.5,50.3,2181,18.9,8408.05,29.5,8.1,62.4,9293,40.1,11.3,48.7
2013,750,Rutherford County,PK-12,46,132,2757,39418,40406,27360,7044,4064,1794,91,20674,19732,67.7,17.4,10.1,4.4,0.2,51.2,48.8,14024,3570,2112,,26,13328,3473,1947,,38,5.6,2265,36,4602,11.4,14139,2870,17009,35,7.1,42.1,6195,15.3,8010.68,39,5.8,55.2,9293,40.1,11.3,48.7
2013,751,Murfreesboro,PK-6,11,27,527,7078,7221,3980,1995,860,339,28,3708,3513,55.1,27.6,11.9,4.7,0.4,51.4,48.6,2034,1001,423,,,1919,978,410,,,8.5,612,38,1002,13.9,3418,393,3811,47.4,5.5,52.9,4834,66.9,8826.98,41.2,9.4,49.4,9293,40.1,11.3,48.7
2013,760,Scott County,PK-12,7,18,207,2853,3117,3077,,20,,,1592,1525,98.7,,0.6,,,51.1,48.9,1570,,,,,1507,,,,,,,,385,12.4,2257,338,2595,72.5,10.9,83.4,2853,91.5,8408.16,15.6,11.8,72.6,9293,40.1,11.3,48.7
2013,761,Oneida,PK-12,3,8,85,1244,1304,1287,,,,,662,642,98.7,,,,,50.8,49.2,654,,,,,624,,,,,,,,109,8.4,710,164,874,54.4,12.6,67,1244,95.4,8246.59,21.8,8.7,69.5,9293,40.1,11.3,48.7
2013,770,Sequatchie County,PK-12,3,10,166,2136,2324,2158,11,118,10,24,1214,1110,92.9,0.5,5.1,0.4,1,52.2,47.8,1114,,59,,,1041,,24,,,2.1,48,,386,16.6,1348,210,1558,58,9,67,2136,91.9,7898.64,25.5,13.8,60.7,9293,40.1,11.3,48.7
2013,780,Sevier County,PK-12,27,61,994,14038,14670,13020,287,1100,191,59,7667,7002,88.8,2,7.5,1.3,0.4,52.3,47.7,6766,150,585,,26,6228,126,502,,24,4,584,26,2058,14,7378,1420,8798,53.5,10.3,63.8,6885,46.9,9509.75,60.5,7.8,31.6,9293,40.1,11.3,48.7
2013,790,Shelby County - old,PK-12,52,169,2673,45063,46601,23555,17737,2500,2453,162,23795,22806,50.5,38.1,5.4,5.3,0.3,51.1,48.9,12125,9000,1258,,76,11407,8731,1228,,65,3.3,1517,44,5712,12.3,14719,2433,17152,31.6,5.2,36.9,16638,35.7,9123.08,41.9,6.2,51.9,9293,40.1,11.3,48.7
2013,791,Memphis - old,PK-12,215,577,7546,98786,106991,7620,87397,10269,1491,125,54475,52513,7.1,81.7,9.6,1.4,0.1,50.9,49.1,4008,44236,5364,,52,3605,43151,4896,,53,7.6,8148,68,13439,12.6,83628,4829,88457,79.7,4.6,84.3,93096,87,11569.64,40.2,18.9,40.9,9293,40.1,11.3,48.7
2013,800,Smith County,PK-12,10,20,238,3024,3225,2965,129,110,10,11,1637,1588,91.9,4,3.4,0.3,0.3,50.8,49.2,1496,53,43,,,1469,54,31,,,0.8,25,,480,14.9,1529,312,1841,47.4,9.7,57.1,1984,61.5,8296.53,22.2,9,68.8,9293,40.1,11.3,48.7
2013,810,Stewart County,PK-12,5,9,152,2075,2216,2097,57,45,,,1158,1058,94.6,2.6,2,,,52.3,47.7,1097,15,13,,,996,21,11,,,,,,294,13.3,1164,146,1310,52.5,6.6,59.1,1436,64.8,9123.63,21.6,12,66.4,9293,40.1,11.3,48.7
2013,820,Sullivan County,PK-12,22,55,876,10473,10978,10606,147,142,48,26,5682,5296,96.6,1.3,1.3,0.4,0.2,51.8,48.2,5484,82,47,,,5118,52,52,,,0.3,37,,1808,16.5,5096,905,6001,46.4,8.2,54.7,4470,40.7,9377.04,43.8,12.5,43.7,9293,40.1,11.3,48.7
2013,821,Bristol,PK-12,8,30,269,3827,4085,3685,226,111,42,18,2119,1966,90.2,5.5,2.7,1,0.4,51.9,48.1,1910,119,56,,,1773,96,48,,,1.6,65,,666,16.3,1796,312,2108,44.6,7.7,52.3,1453,35.6,10042.36,52.5,7.2,40.3,9293,40.1,11.3,48.7
2013,822,Kingsport,PK-12,13,44,499,6651,7045,5910,672,290,146,21,3573,3472,83.9,9.5,4.1,2.1,0.3,50.7,49.3,2973,347,157,,,2935,317,109,,,1.4,101,,1458,20.7,3121,377,3498,45.4,5.5,50.9,2823,40.1,10400.71,55.5,7.8,36.7,9293,40.1,11.3,48.7
2013,830,Sumner County,PK-12,46,115,1826,27464,28443,23409,2897,1557,458,81,14688,13755,82.3,10.2,5.5,1.6,0.3,51.6,48.4,12095,1477,827,,32,11309,1411,715,,38,2.2,633,14,4631,16.3,9783,1587,11370,34.4,5.6,40,6289,22.1,8119.76,35.5,6.6,57.9,9293,40.1,11.3,48.7
2013,840,Tipton County,PK-12,14,54,757,11270,11819,8542,2934,205,75,23,6159,5660,72.3,24.8,1.7,0.6,0.2,52.1,47.9,4461,1509,108,,,4080,1424,73,,,0.4,52,,1813,15.3,5801,1068,6869,49.1,9,58.1,6904,58.4,8206.74,20.6,9.9,69.5,9293,40.1,11.3,48.7
2013,850,Trousdale County,PK-12,3,7,88,1219,1276,1064,173,36,,,651,625,83.4,13.6,2.8,,,51,49,543,85,10,,,520,69,16,,,1,13,,212,16.6,630,81,711,49.4,6.3,55.7,545,42.7,8366.93,18.3,11.3,70.5,9293,40.1,11.3,48.7
2013,860,Unicoi County,K-12,7,15,182,2497,2629,2366,16,238,,,1387,1242,90,0.6,9.1,,,52.8,47.2,1249,,122,,,1116,,97,,,5.1,133,16,503,19.1,1469,205,1674,55.9,7.8,63.7,2498,95,8379.26,22.9,12.1,65,9293,40.1,11.3,48.7
2013,870,Union County,PK-12,10,18,216,5847,6046,5355,427,185,41,33,3055,2991,88.6,7.1,3.1,0.7,0.5,50.5,49.5,2713,195,86,,16,2642,223,80,,,0.3,17,,633,10.5,1913,258,2171,64.4,8.7,73.1,2921,48.3,7314.44,10.3,8.2,81.6,9293,40.1,11.3,48.7
2013,880,Van Buren County,PK-12,2,9,59,727,789,779,,,,,398,391,98.7,,,,,50.4,49.6,392,,,,,387,,,,,,,,128,16.2,431,74,505,54.7,9.4,64.1,328,41.6,9592.56,19.9,9.6,70.6,9293,40.1,11.3,48.7
2013,890,Warren County,PK-12,11,42,481,6329,6630,5272,339,939,46,27,3404,3226,79.5,5.1,14.2,0.7,0.4,51.3,48.7,2696,179,467,,,2567,153,441,,,6.9,459,,1020,15.4,3872,470,4342,58.4,7.1,65.5,4563,68.8,8552.87,24.5,11.7,63.8,9293,40.1,11.3,48.7
2013,900,Washington County,PK-12,16,48,567,8792,9057,8502,206,257,57,25,4681,4375,93.9,2.3,2.8,0.6,0.3,51.7,48.3,4391,103,118,,11,4095,86,113,,,0.9,82,,1248,13.8,3630,726,4356,40.1,8,48.1,6317,69.7,8257.84,43.5,7.6,48.9,9293,40.1,11.3,48.7
2013,901,Johnson City,PK-12,11,32,486,7454,7738,5853,1060,589,202,28,3844,3894,75.6,13.7,7.6,2.6,0.4,49.7,50.3,2913,516,275,,,2922,527,298,,,4.2,327,14,952,12.3,3381,397,3778,43.7,5.1,48.8,2249,29.1,9384.35,53.2,8.8,37.9,9293,40.1,11.3,48.7
2013,910,Wayne County,PK-12,8,18,205,2293,2504,2414,42,38,,,1309,1195,96.4,1.7,1.5,,,52.3,47.7,1263,17,,,,1151,12,18,,,,,,485,19.4,1413,221,1634,56.4,8.8,65.2,1266,50.6,8870.48,15.4,11.8,72.9,9293,40.1,11.3,48.7
2013,920,Weakley County,PK-12,11,19,313,4324,4540,3980,411,99,45,,2351,2189,87.7,9.1,2.2,1,,51.8,48.2,2046,220,39,,,1933,186,43,,,0.5,23,,668,14.7,2431,364,2795,53.6,8,61.7,4438,97.8,8202.28,23,10.5,66.5,9293,40.1,11.3,48.7
2013,930,White County,PK-12,9,19,265,3794,4103,3859,130,74,21,10,2105,1998,94.1,3.2,1.8,0.5,0.2,51.3,48.7,1984,63,21,,,1874,54,22,,,0.3,11,,704,17.2,2292,409,2701,55.9,10,65.8,1859,45.3,7904.81,18.5,12.1,69.4,9293,40.1,11.3,48.7
2013,940,Williamson County,PK-12,41,150,2259,32505,33357,28538,1577,1391,1650,113,16969,16388,85.6,4.7,4.2,4.9,0.3,50.9,49.1,14585,814,686,,29,13941,756,685,,55,1.9,639,64,3298,9.9,2920,939,3859,8.8,2.8,11.6,953,2.9,8478.62,53.8,6.2,40,9293,40.1,11.3,48.7
2013,941,Franklin SSD,PK-8,8,19,355,3622,3867,2256,544,837,193,31,1975,1892,58.3,14.1,21.6,5,0.8,51.1,48.9,1143,270,415,,,1082,259,401,,11,13,503,,506,13.1,1304,209,1513,33.7,5.4,39.1,1205,31.2,12929.83,67.4,4.8,27.7,9293,40.1,11.3,48.7
2013,950,Wilson County,PK-12,21,70,1112,15755,16339,14034,1287,597,331,49,8414,7925,85.9,7.9,3.7,2,0.3,51.5,48.5,7223,624,322,,12,6806,639,246,,14,2,327,,2242,13.7,4036,768,4804,24.8,4.7,29.5,2891,17.7,7769.65,41.3,5.6,53.1,9293,40.1,11.3,48.7
2013,951,Lebanon,PK-8,6,15,240,3461,3691,2565,637,421,55,12,1917,1774,69.5,17.3,11.4,1.5,0.3,51.9,48.1,1318,329,232,,,1244,293,174,,,8.2,304,,534,14.5,1983,239,2222,53.7,6.5,60.2,2365,64.1,8165.82,44.6,6.8,48.5,9293,40.1,11.3,48.7
2013,960,West Tenn School For Deaf,K-6,1,,,0,52,22,24,,,,24,28,42.3,46.2,,,,46.2,53.8,,10,,,,13,12,,,,,,,48,92.3,33,7,40,63.5,13.5,76.9,13,25,,,,,9293,40.1,11.3,48.7
2013,961,Alvin C York Institute,9-12,1,,,628,661,648,,10,,,343,318,98,,1.5,,,51.9,48.1,332,,,,,309,,,,,,,,60,9.1,362,69,431,54.7,10.4,65.1,628,95,,,,,9293,40.1,11.3,48.7
2013,963,Tenn School For Blind,PK-12,1,,,12,150,107,30,11,,,92,58,71.3,20,7.3,,,61.3,38.7,62,19,,,,42,11,,,,,,,146,97.3,82,0,82,54.7,0,54.7,12,8,,,,,9293,40.1,11.3,48.7
2013,964,Tenn Sch For Deaf,K-12,3,,,6,171,107,49,10,,,100,71,62.6,28.7,5.8,,,58.5,41.5,58,19,,,,35,21,,,,,,,152,88.9,34,0,34,79.1,0,79.1,,,,,,,9293,40.1,11.3,48.7
2013,985,Achievement School District,PK-8,6,,,1446,1648,40,1580,24,,,859,789,2.4,95.9,1.5,,,52.1,47.9,14,821,,,,14,750,,,,1.1,18,,237,14.4,1366,27,1393,91.6,1.8,93.4,1565,95,,,,,9293,40.1,11.3,48.7
